Name,Price,Rating
Shop on eBay,$20.00,No Rating
Shop on eBay,$20.00,No Rating
"Lenovo X1 Carbon 14"" FHD Core i7 Laptop Computer Windows 11 16GB RAM 256GB SSD",$284.56,No Rating
"Lenovo Laptop PC Computer 11.6"" Intel Celeron Windows 10 4GB RAM 64GB SSD WiFi",$85.51,No Rating
Lenovo ThinkPad X1 Carbon Gen 6 Laptop 14” Core i7 16GB RAM 512GB SSD Windows 11,$299.99,No Rating
"Dell 15.6"" Touchscreen Laptop Windows 11 Intel Core i5 4.10GHz 64GB RAM 4TB SSD",$245.00 to $620.00,No Rating
2024 HP Laptop Computer 14 4-Core Intel Processor 16GB RAM Office 365 AI-Copilot,$258.80,No Rating
"HP Laptop 14"" HD Intel Core i3-1115G4 8GB 256GB PCIe SSD HD Cam Win 11 S Silver",$194.37,No Rating
"New ListingNEW HP ProBook 460 G11 16"" FHD+ Core Ultra 7 155U 32GB 512GB Cam FPR Warranty!",$660.00,No Rating
2024 HP Laptop Computer 15.6 FHD 10-Core Intel i5 Up to 64GB RAM 2TB SSD Win Pro,$409.00 to $649.00,No Rating
"32GB RAM Windows Laptop Computer, 1TB M2 PCIe NVMe SSD, 1.7-3.4 GHz Intel …………",$219.99,No Rating
"Dell Latitude 3190 Laptop PC Computer 11.6"" Celeron Windows 10 4GB RAM 64GB SSD",$87.23,No Rating
"2024 Lenovo IdeaPad Laptop Notebook 15.6""  Intel Processor Upto 20GB RAM 1TB SSD",$229.00 to $339.00,No Rating
Lenovo N23 Winbook Laptop Intel 1.60 GHz 4GB Memory 64GB HD Touchscreen Win 10,$84.99,No Rating
"HP EliteBook 830 G7 13.3"" FHD Gaming Laptop PC Intel Core i7 32GB DDR4 256GB SSD",$299.99,No Rating
"HP Laptop 14"" HD Intel Core i3-1115G4 16GB 512GB SSD Webcam Windows 11 Silver",$231.57,No Rating
Dell Laptop Windows 10 Latitude 7240 Intel Core i5 256GB SSD Touch screen Webcam,$129.00,No Rating
2-in-1 TouchScreen DELL Laptop/Tablet: Intel i5! 8GB RAM~256GB SSD! Windows 11!,$194.95,No Rating
"2024 HP Laptop 15.6"" 10-Core Intel i7,Upto 64GB RAM 2TB SSD, Backlit KB, W11 Pro",$599.00 to $839.00,No Rating
"HP EliteBook 14"" Laptop PC Computer Core i5 16GB RAM 256GB SSD Windows 11 HDMI",$202.50,No Rating
New ListingHP ProBook 445 14 inch G11 - Factory Sealed,$209.00,No Rating
"New ListingHP 14"" HD Laptop, Intel Core i3-N305, 8GB RAM, 256GB SSD, Windows 11, Blue - NEW",$249.99,No Rating
